arr,Household members age: 0-4,Household members age: 5-9,Household members age: 10-14,Household members age: 15-19,Household members age: 20-24,Household members age: 25-29,Household members age: 30-34,Household members age: 35-39,Household members age: 40-44,Household members age: 45-49,Household members age: 50-54,Household members age: 55-59,Household members age: 60-64,Household members age: 65-69,Household members age: 70-74,Household members age: 75-79,Household members age: 80 +,Household members age: Missing /DK
0,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
1,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
2,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
3,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
4,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
5,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
6,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
7,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
8,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
9,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
10,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
11,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
12,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
13,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
14,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
15,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
16,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
17,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
18,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
19,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
20,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
21,13.6,11.2,10.6,9.3,10.4,9.9,7.8,5.9,4.8,2.9,3.8,2.9,1.8,1.3,1.2,0.4,0.9,1.3
22,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
23,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
24,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
25,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
26,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
27,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
28,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
29,18.8,16.4,12.3,10.2,8.4,6.2,5.2,3.9,3.5,2.9,3.4,2.3,1.8,1.2,1.9,0.8,0.9,0.1
30,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
31,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
32,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
33,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
34,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
35,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
36,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
37,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
38,18.6,17.6,14.8,9.1,7.2,5.2,4.8,3.9,3.2,2.4,3.2,2.4,2.2,1.6,1.7,1.1,1.1,0.1
39,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
40,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
41,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
42,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
43,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
44,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
45,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
46,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
47,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
48,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
49,16.5,16.5,13.3,10.3,8.3,6.3,5.4,4.8,3.4,2.3,4.0,2.0,2.1,1.4,1.6,0.6,1.0,0.2
50,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
51,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
52,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
53,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
54,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
55,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
56,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
57,19.1,16.7,13.9,10.3,7.6,5.7,5.1,4.3,3.5,2.6,3.2,2.1,1.7,1.1,1.4,0.7,0.7,0.3
58,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
59,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
60,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
61,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
62,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
63,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
64,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
65,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
66,19.5,18.8,12.5,9.1,7.5,6.0,4.3,4.6,3.0,2.6,3.5,2.3,2.3,1.3,1.4,0.5,1.0,0.1
67,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
68,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
69,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
70,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
71,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
72,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
73,17.3,15.0,13.7,9.9,8.2,6.4,5.4,5.0,3.8,3.2,3.2,2.2,1.8,0.9,1.4,1.0,1.1,0.5
74,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
75,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
76,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
77,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
78,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
79,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
80,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
81,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
82,20.0,17.0,13.6,9.9,7.7,6.0,4.9,4.3,3.3,2.4,3.2,1.9,1.7,1.4,1.2,0.7,0.7,0.0
83,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
84,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
85,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
86,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
87,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
88,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
89,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
90,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
91,18.8,17.6,14.7,10.1,6.8,5.8,4.2,3.7,3.5,2.3,3.3,2.4,2.1,1.5,1.7,0.7,0.8,0.0
92,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
93,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
94,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
95,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
96,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
97,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
98,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
99,14.5,13.8,12.6,11.5,10.1,7.5,5.6,3.8,3.6,2.7,3.8,2.2,2.3,1.6,1.9,1.1,1.4,0.1
100,18.0,19.0,13.3,9.1,6.1,5.9,5.0,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1.0,0.3,0.6,0.2
101,18.0,19.0,13.3,9.1,6.1,5.9,5.0,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1.0,0.3,0.6,0.2
102,18.0,19.0,13.3,9.1,6.1,5.9,5.0,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1.0,0.3,0.6,0.2
103,18.0,19.0,13.3,9.1,6.1,5.9,5.0,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1.0,0.3,0.6,0.2
104,18.0,19.0,13.3,9.1,6.1,5.9,5.0,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1.0,0.3,0.6,0.2
105,18.0,19.0,13.3,9.1,6.1,5.9,5.0,4.7,3.5,2.5,3.9,2.9,2.5,1.6,1.0,0.3,0.6,0.2
106,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
107,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
108,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
109,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
110,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
111,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
112,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
113,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
114,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
115,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
116,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
117,18.8,18.2,12.3,10.0,7.8,6.7,5.2,4.2,3.0,3.0,2.9,2.2,1.9,1.1,1.3,0.6,0.6,0.1
118,18.6,16.4,13.3,9.7,8.7,5.6,5.1,4.2,3.1,2.5,3.3,2.1,2.4,1.4,1.7,0.7,0.9,0.2
119,18.6,16.4,13.3,9.7,8.7,5.6,5.1,4.2,3.1,2.5,3.3,2.1,2.4,1.4,1.7,0.7,0.9,0.2
120,18.6,16.4,13.3,9.7,8.7,5.6,5.1,4.2,3.1,2.5,3.3,2.1,2.4,1.4,1.7,0.7,0.9,0.2
121,18.6,16.4,13.3,9.7,8.7,5.6,5.1,4.2,3.1,2.5,3.3,2.1,2.4,1.4,1.7,0.7,0.9,0.2
122,18.6,16.4,13.3,9.7,8.7,5.6,5.1,4.2,3.1,2.5,3.3,2.1,2.4,1.4,1.7,0.7,0.9,0.2
