arr,Household usual members: 0,Household usual members: 1,Household usual members: 2,Household usual members: 3,Household usual members: 4,Household usual members: 5,Household usual members: 6,Household usual members: 7,Household usual members: 8,Household usual members: 9 +,Sex of head of household: Male,Sex of head of household: Female
0,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
1,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
2,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
3,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
4,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
5,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
6,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
7,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
8,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
9,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
10,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
11,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
12,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
13,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
14,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
15,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
16,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
17,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
18,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
19,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
20,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
21,0.0,5.5,8.0,7.7,9.9,8.9,9.4,8.1,7.7,34.8,67.8,32.2
22,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
23,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
24,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
25,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
26,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
27,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
28,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
29,0.0,2.3,1.9,4.5,4.3,9.6,10.4,8.9,6.4,51.7,69.1,30.9
30,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
31,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
32,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
33,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
34,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
35,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
36,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
37,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
38,0.0,2.3,1.6,3.0,5.1,6.5,9.4,11.1,10.1,50.8,76.0,24.0
39,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
40,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
41,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
42,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
43,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
44,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
45,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
46,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
47,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
48,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
49,0.0,1.2,1.5,4.3,5.5,7.6,10.9,7.2,10.1,51.8,78.1,21.9
50,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
51,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
52,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
53,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
54,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
55,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
56,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
57,0.0,2.0,1.3,2.5,2.3,7.3,7.4,8.5,10.1,58.6,79.1,20.9
58,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
59,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
60,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
61,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
62,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
63,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
64,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
65,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
66,0.0,1.6,3.0,3.6,7.1,7.6,11.3,8.3,9.6,47.8,84.3,15.7
67,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
68,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
69,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
70,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
71,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
72,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
73,0.0,1.3,2.3,5.3,6.8,9.4,10.8,10.7,8.2,45.3,75.3,24.7
74,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
75,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
76,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
77,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
78,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
79,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
80,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
81,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
82,0.0,2.2,2.0,2.6,6.6,8.5,7.9,7.3,11.0,51.9,91.2,8.8
83,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
84,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
85,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
86,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
87,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
88,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
89,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
90,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
91,0.0,2.2,1.3,2.5,5.3,5.6,8.4,7.6,7.5,59.5,82.8,17.2
92,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
93,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
94,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
95,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
96,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
97,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
98,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
99,0.0,6.8,5.1,5.9,7.6,8.6,10.4,7.7,9.6,38.3,73.9,26.1
100,0.0,2.7,5.0,5.2,9.7,11.0,13.1,10.9,8.2,34.3,86.8,13.2
101,0.0,2.7,5.0,5.2,9.7,11.0,13.1,10.9,8.2,34.3,86.8,13.2
102,0.0,2.7,5.0,5.2,9.7,11.0,13.1,10.9,8.2,34.3,86.8,13.2
103,0.0,2.7,5.0,5.2,9.7,11.0,13.1,10.9,8.2,34.3,86.8,13.2
104,0.0,2.7,5.0,5.2,9.7,11.0,13.1,10.9,8.2,34.3,86.8,13.2
105,0.0,2.7,5.0,5.2,9.7,11.0,13.1,10.9,8.2,34.3,86.8,13.2
106,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
107,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
108,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
109,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
110,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
111,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
112,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
113,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
114,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
115,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
116,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
117,0.2,2.4,4.5,5.4,6.8,8.0,8.6,8.2,6.5,49.5,88.2,11.8
118,0.0,2.7,2.7,4.6,6.3,8.8,7.9,9.9,5.7,51.3,82.2,17.8
119,0.0,2.7,2.7,4.6,6.3,8.8,7.9,9.9,5.7,51.3,82.2,17.8
120,0.0,2.7,2.7,4.6,6.3,8.8,7.9,9.9,5.7,51.3,82.2,17.8
121,0.0,2.7,2.7,4.6,6.3,8.8,7.9,9.9,5.7,51.3,82.2,17.8
122,0.0,2.7,2.7,4.6,6.3,8.8,7.9,9.9,5.7,51.3,82.2,17.8
