arr,Household possessions: Radio,Household possessions: Television,Household possessions: Telephone,Household possessions: Refrigerator,Household possessions: Bicycle,Household possessions: Motorcycle,Household possessions: Private car,Household possessions: None of the previous
0,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
1,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
2,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
3,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
4,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
5,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
6,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
7,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
8,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
9,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
10,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
11,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
12,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
13,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
14,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
15,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
16,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
17,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
18,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
19,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
20,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
21,75.6,84.5,25.8,45.6,7.6,8.3,2.7,6.7
22,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
23,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
24,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
25,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
26,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
27,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
28,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
29,79.0,48.2,8.7,16.8,5.2,5.2,5.1,16.4
30,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
31,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
32,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
33,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
34,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
35,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
36,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
37,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
38,62.2,28.3,4.1,8.6,8.8,7.0,1.5,32.3
39,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
40,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
41,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
42,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
43,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
44,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
45,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
46,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
47,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
48,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
49,79.5,38.0,8.1,11.8,5.1,4.4,3.1,16.0
50,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
51,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
52,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
53,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
54,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
55,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
56,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
57,79.8,36.8,6.5,12.4,9.5,10.7,2.5,13.9
58,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
59,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
60,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
61,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
62,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
63,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
64,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
65,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
66,63.4,16.3,2.3,5.4,7.0,6.8,1.5,31.6
67,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
68,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
69,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
70,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
71,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
72,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
73,66.7,50.7,9.0,14.9,12.4,5.6,3.9,18.5
74,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
75,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
76,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
77,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
78,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
79,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
80,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
81,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
82,72.0,22.1,6.6,7.2,74.3,15.6,1.2,8.7
83,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
84,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
85,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
86,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
87,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
88,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
89,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
90,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
91,69.3,21.2,4.3,4.9,63.2,9.9,0.9,14.2
92,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
93,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
94,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
95,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
96,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
97,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
98,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
99,65.6,46.3,9.8,17.4,49.0,18.7,1.6,18.9
100,64.7,17.1,5.6,5.8,69.0,18.6,0.5,14.4
101,64.7,17.1,5.6,5.8,69.0,18.6,0.5,14.4
102,64.7,17.1,5.6,5.8,69.0,18.6,0.5,14.4
103,64.7,17.1,5.6,5.8,69.0,18.6,0.5,14.4
104,64.7,17.1,5.6,5.8,69.0,18.6,0.5,14.4
105,64.7,17.1,5.6,5.8,69.0,18.6,0.5,14.4
106,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
107,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
108,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
109,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
110,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
111,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
112,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
113,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
114,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
115,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
116,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
117,66.7,19.8,5.6,6.3,57.2,14.3,1.0,17.2
118,63.5,31.1,9.9,13.3,9.3,3.5,1.6,29.4
119,63.5,31.1,9.9,13.3,9.3,3.5,1.6,29.4
120,63.5,31.1,9.9,13.3,9.3,3.5,1.6,29.4
121,63.5,31.1,9.9,13.3,9.3,3.5,1.6,29.4
122,63.5,31.1,9.9,13.3,9.3,3.5,1.6,29.4
